,X,Y,Z,id,nugget
0,20.0,0.0,-74.0,38714494,1e-05
1,60.0,0.0,-52.0,38714494,1e-05
2,70.0,0.0,-77.0,71599174,1e-05
3,80.0,0.0,-71.0,71599174,1e-05
4,0.0,0.0,-61.0,71814936,1e-05
5,20.0,0.0,-49.0,71814936,1e-05
6,60.0,0.0,-27.0,71814936,1e-05
7,0.0,0.0,-72.0,11587075,1e-05
8,30.0,0.0,-55.5,11587075,1e-05
9,60.0,0.0,-39.0,11587075,1e-05
10,0.0,0.0,-21.0,25558759,1e-05
11,20.0,0.0,-10.0,25558759,1e-05
12,30.0,0.0,-1.0,25558759,1e-05
13,0.0,0.0,-39.0,55395852,1e-05
14,20.0,0.0,-28.0,55395852,1e-05
15,40.0,0.0,-16.0,55395852,1e-05
