,X,Y,Z,id,nugget
0,0.0,0.0,-21.0,14756072,1e-05
1,20.0,0.0,-10.0,14756072,1e-05
2,30.0,0.0,-1.0,14756072,1e-05
3,0.0,0.0,-39.0,25972257,1e-05
4,20.0,0.0,-28.0,25972257,1e-05
5,40.0,0.0,-16.0,25972257,1e-05
6,0.0,0.0,-61.0,42862209,1e-05
7,20.0,0.0,-49.0,42862209,1e-05
8,60.0,0.0,-27.0,42862209,1e-05
9,0.0,0.0,-72.0,8711036,1e-05
10,30.0,0.0,-55.5,8711036,1e-05
11,60.0,0.0,-39.0,8711036,1e-05
12,20.0,0.0,-74.0,74467796,1e-05
13,60.0,0.0,-52.0,74467796,1e-05
14,70.0,0.0,-77.0,30139800,1e-05
15,80.0,0.0,-71.0,30139800,1e-05
